title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Pennsylvania,Central Bucks School District,December 2022,Banned from Libraries and Classrooms,Formal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Texas,Fort Worth Independent School District,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Wisconsin,Sheboygan Area School District,January 2023,Banned from Libraries and Classrooms,Administration
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Wyoming,Natrona County Schools,October 2022,Banned Pending Investigation,Formal Challenge
Boy Girl Boy,"Koertge, Ron",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Boy Girl Boy,"Koertge, Ron",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Boy Girl Boy,"Koertge, Ron",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Boy Girl Boy,"Koertge, Ron",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Boy Girl Boy,"Koertge, Ron",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
The Bridge,"Konigsberg, Bill",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
The Music of What Happens,"Konigsberg, Bill",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Music of What Happens,"Konigsberg, Bill",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Music of What Happens,"Konigsberg, Bill",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
The History of the Blues,"Koopmans, Andy",,,,The Music Library,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Schooled,"Korman, Gordon",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
Great Masterpieces of the World,"Korn, Irene",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Artists You Should Know,"Köster, Thomas","Röper, Lars",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Savage Inequalities: Children in America's Schools,"Kozol, Jonathan",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Gay Rights (RK),"Kranz, Rachel","Cusick, Tim",,,Library in a Book,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Deep Dark Fears,"Krause, Fran",,,,Deep Dark Fears Collection,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Creeps: A Deep Dark Fears Collection,"Krause, Fran",,,,Deep Dark Fears Collection,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
"Bleach, Vol. 21","Kubo, Tite",,,,Bleach,Missouri,Lindbergh Schools,November 2022,Banned from Libraries,Legislative Action
50 Sculptures You Should Know,"Kühl, Isabel","Reichold, Klaus",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Arkansas,Conway Public Schools,October 2022,Banned from Libraries and Classrooms,Unclear
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Texas,Cypress-Fairbanks Independent School District,December 2022,Banned from Libraries,Formal Challenge
Beyond Magenta: Transgender Teens Speak Out,"Kuklin, Susan",,,,,Utah,Granite School District,November 2022,Banned Pending Investigation,Formal Challenge
We Are Here to Stay: Voices of Undocumented Young Adults,"Kuklin, Susan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Girl in Translation,"Kwok, Jean",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Reverie,"La Sala, Ryan",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Hold Still,"LaCour, Nina",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Watch Over Me,"LaCour, Nina",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
We Are Okay,"LaCour, Nina",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
We Are Okay,"LaCour, Nina",,,,,Michigan,Davison Community Schools,August 2022,Banned from Libraries and Classrooms,Informal Challenge
Psalm Twenty-Three,"Ladwig, Tim",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Little Piece of Ground,"Laird, Elizabeth","Nimr, Sonia","Neal, Bill",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
The Road to Bethlehem: An Ethiopian Nativity,"Laird, Elizabeth",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Stories of Jesus,"Lane, Leena","Bishop, Roma",,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
"Families, Families, Families!","Lang, Suzanne","Lang, Max",,,,Florida,School District of Manatee County,June 2023,Banned from Libraries,Administration
The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth,"Langford, Jo",,,,,Texas,Frisco Independent School District,November 2022,Banned from Libraries and Classrooms,Administration
"Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship","Latham, Irene","Waters, Charles","Qualls, Sean; Alko, Selina",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Neon Darkness,Lauren Shippen,,,,The Bright Sessions,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Autoboyography,"Lauren, Christina",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
The Complete Idiot's Guide to Drawing Manga: Illustrated,"Layman, John","Hutchinson, David",,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Beetle and the Hollowbones,"Layne, Aliza",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Beetle and the Hollowbones,"Layne, Aliza",,,,,Florida,Escambia County Public Schools,April 2023,Banned Pending Investigation,Formal Challenge
A Clash of Steel: A Treasure Island Remix,"Lee, C. B.",,,,Remixed Classics,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
Grown in 60 Seconds,"Lee, Darrien",,,,Denim Diaries,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Go Set a Watchman,"Lee, Harper",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
To Kill a Mockingbird,"Lee, Harper",,,,,Florida,The School District of Palm Beach County,July 2022,Banned Pending Investigation,Legislative Action
To Kill a Mockingbird,"Lee, Harper",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
The Gentleman's Guide to Vice and Virtue,"Lee, Mackenzi",,,,Montague Siblings,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Karakuridoji Ultimo, Vol. 1","Lee, Stan",,"Takei, Hiroyuki",,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Spider-Man in Face-to-Face with the Lizard,"Lee, Stan","Ditko, Steve; Quantz, Daniel","Meyers; Jonboy; Davidson, Pat; Molinar; Larry; Gentile, Randy",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Lesson in Vengeance,"Lee, Victoria",,,,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge
A Lesson in Vengeance,"Lee, Victoria",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Furyborn,"Legrand, Claire",,,,Empirium,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Furyborn,"Legrand, Claire",,,,Empirium,Virginia,Madison County Public Schools,January 2023,Banned Pending Investigation,Administration
Kingsbane,"Legrand, Claire",,,,The Empirium Trilogy,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Lightbringer,"Legrand, Claire",,,,The Empirium Trilogy,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Annie Leibovitz at Work,"Leibovitz, Annie",,,,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
Women,"Leibovitz, Annie","Sontag, Susan",,,,Missouri,Kirkwood School District,October 2022,Banned from Libraries and Classrooms,Legislative Action
Secret Origins,"Lemire, Jeff",,"Ormston, Dean; Stewart, Dave",,Black Hammer,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
The Event,"Lemire, Jeff",,"Ormston, Dean; Stewart, Dave",,Black Hammer,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Home (TL),"Lemm, Trinity",,,,,Utah,Washington County School District,March 2023,Banned from Libraries and Classrooms,Administration
Human Sexuality: Opposing Viewpoints,"Leone, Bruno","Stalcup, Brenda; Swisher, Karin L.",,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
A Map to the Sun,"Leong, Sloane",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Pharaoh's Daughter: A Novel of Ancient Egypt,"Lester, Julius",,,,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
19 Love Songs,"Levithan, David",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Another Day,"Levithan, David",,,,Every Day,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Boy Meets Boy,"Levithan, David",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Every Day,"Levithan, David",,,,Every Day,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Hold Me Closer: The Tiny Cooper Story,"Levithan, David",,,,"Will Grayson, Will Grayson",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Someday,"Levithan, David",,,,Every Day,Florida,Clay County School District,November 2022,Banned Pending Investigation,Formal Challenge
Two Boys Kissing,"Levithan, David",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
Two Boys Kissing,"Levithan, David",,,,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
Two Boys Kissing,"Levithan, David",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Two Boys Kissing,"Levithan, David",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
Two Boys Kissing,"Levithan, David",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Two Boys Kissing,"Levithan, David",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
Two Boys Kissing,"Levithan, David",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
The Family Fletcher Takes Rock Island,"Levy, Dana Alison",,,,Family Fletcher,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
This Would Make a Good Story Someday,"Levy, Dana Alison",,,,,Florida,Escambia County Public Schools,May 2023,Banned Pending Investigation,Formal Challenge
"Coyotes, Vol. 1","Lewis, Sean",,"Yarsky, Caitlin",,Coyotes,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
"Coyotes, Vol. 2","Lewis, Sean",,"Yarsky, Caitlin",,Coyotes,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Snapdragon,"Leyh, Kat",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Girl, (Nearly) 16: Absolute Torture","Limb, Sue",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
House of Dark Shadows,"Liparulo, Robert",,,,Dreamhouse Kings,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
Timescape,"Liparulo, Robert",,,,Dreamhouse Kings,Texas,Frisco Independent School District,October 2022,Banned Pending Investigation,Administration
David and the Giant,"Little, Emily",,,,Step into Reading,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Anything But Okay,"Littman, Sarah Darer",,,,,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
Monstress,"Liu, Marjorie","Takeda, Sana",,,Monstress,Missouri,Independence School District,October 2022,Banned from Libraries,Legislative Action
"Monstress, Vol. 1: Awakening","Liu, Marjorie",,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Monstress, Vol. 2: The Blood","Liu, Marjorie",,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Monstress, Vol. 3: Haven","Liu, Marjorie",,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
"Monstress, Vol. 4: The Chosen","Liu, Marjorie",,"Takeda, Sana",,Monstress,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
Thanksgiving Poems,"Livingston, Myra Cohn",,"Gammell, Stephen",,,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
Ash,"Lo, Malinda",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Florida,Flagler Schools,June 2023,Banned from Libraries,Formal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
Last Night at the Telegraph Club,"Lo, Malinda",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Last Night at the Telegraph Club,"Lo, Malinda",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,South Carolina,Horry County Schools,November 2022,Banned from Libraries,Informal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Texas,Conroe Independent School District,Spring 2023,Banned from Libraries and Classrooms,Administration
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Utah,Granite School District,October 2022,Banned Pending Investigation,Formal Challenge
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",,,,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
Fly on the Wall: How One Girl Saw Everything,"Lockhart, E.",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Florida,Duval County Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Florida,Highlands Schools,September 2022,Banned from Libraries and Classrooms,Informal Challenge
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Florida,Okaloosa County Schools District,January 2023,Banned Pending Investigation,Administration
"Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver","Lockhart, E.",,,,,Pennsylvania,Pleasant Valley School District,July 2022,Banned Pending Investigation,Informal Challenge
We Were Liars,"Lockhart, E.",,,,We Were Liars,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Dateable: Are You? Are They?,"Lookadoo, Justin","DiMarco, Hayley",,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Rules (CL),"Lord, Cynthia",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Isaac the Alchemist: Secrets of Isaac Newton, Reveal'd","Losure, Mary",,,,,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
"Hunting the Devil: The Pursuit, Capture and Confession of the Most Savage Serial Killer in History","Lourie, Richard",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Julián at the Wedding,"Love, Jessica",,,,Julián,Florida,Escambia County Public Schools,April 2023,Banned Pending Investigation,Formal Challenge
Julián Is a Mermaid,"Love, Jessica",,,,Julián,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
Julián Is a Mermaid,"Love, Jessica",,,,Julián,South Carolina,Horry County Schools,November 2022,Banned from Libraries,Informal Challenge
Puberty is Gross but Also Really Awesome,"Loveless, Gina",,"Johnston, Lauri",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
50 Paintings You Should Know,"Lowis, Kristina","Pickeral, Tamsin",,,50 You Should Know,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Messenger,"Lowry, Lois",,,,The Giver,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Giver,"Lowry, Lois",,,,The Giver,Texas,Frisco Independent School District,October 2022,Banned from Libraries,Administration
The Giver: Graphic Novel,"Lowry, Lois",,"Russell, P. Craig",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Storytelling in Christian Art from Biotto to Donatello,"Lubbock, Jules",,,,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Daughters Unto Devils,"Lukavics, Amy",,,,,Utah,Alpine School District,November 2022,Banned from Libraries,Legislative Action
Different Kinds of Fruit,"Lukoff, Kyle",,,,,Florida,Broward County Public Schools,October 2022,Banned from Libraries,Informal Challenge
Too Bright to See,"Lukoff, Kyle",,,,,Florida,Escambia County Public Schools,February 2023,Banned Pending Investigation,Formal Challenge
Too Bright to See,"Lukoff, Kyle",,,,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
When Aidan Became a Brother,"Lukoff, Kyle",,"Juanita, Kaylani",,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
When Aidan Became a Brother,"Lukoff, Kyle",,"Juanita, Kaylani",,,Florida,School District of Manatee County,July 2022,Banned from Libraries and Classrooms,Legislative Action
When Aidan Became a Brother,"Lukoff, Kyle",,"Juanita, Kaylani",,,Florida,The School District of Palm Beach County,July 2022,Banned from Libraries,Legislative Action
The Best Laid Plans,"Lund, Cameron",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Hero,"Lupica, Mike",,,,,Texas,Frisco Independent School District,January 2023,Banned from Libraries,Administration
Boy Toy,"Lyga, Barry",,,,,Florida,Clay County School District,July 2022,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Florida,Escambia County Public Schools,December 2022,Banned Pending Investigation,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Florida,Santa Rosa County District Schools,June 2023,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Florida,St. John's County School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Texas,Keller Independent School District,Fall 2022,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Utah,Washington County School District,February 2023,Banned from Libraries and Classrooms,Administration
Boy Toy,"Lyga, Barry",,,,,Virginia,Spotsylvania County Public Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
Boy Toy,"Lyga, Barry",,,,,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
Mangaman,"Lyga, Barry",,"Doran, Colleen",,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Sonny's House of Spies,"Lyon, George Ella",,,,,Texas,Texarkana Independent School District,October 2022,Banned Pending Investigation,Informal Challenge
Stitching the Stars: The Story Quilts of Harriet Powers,"Lyons, Mary E.",,,,African-American Artists and Artisans,Florida,Brevard Public Schools,June 2023,Banned from Libraries and Classrooms,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,August 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Carolina,Cumberland County Schools,April 2023,Banned from Libraries,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Pennsylvania,Penncrest School District,February 2023,Banned from Libraries and Classrooms,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Conroe Independent School District,September 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Texas,Frisco Independent School District,October 2022,Banned from Libraries and Classrooms,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Alpine School District,November 2022,Banned from Libraries and Classrooms,Legislative Action
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Granite School District,October 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Jordan School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Nebo School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,July 2022,Banned from Libraries and Classrooms,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Wisconsin,School District of Somerset,February 2023,Banned Pending Investigation,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Flagler Schools,October 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Marion County Public Schools,AY 2022-2023,Banned Pending Investigation,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Miami-Dade Public Schools,March 2023,Banned from Libraries and Classrooms,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,August 2022,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Kansas,Gardner Edgerton School District 231,March 2023,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Missouri,Nixa Public Schools,April 2023,Banned from Libraries,Unclear
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Carolina,Cumberland County Schools,April 2023,Banned from Libraries,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Carolina,Pender County Schools,February 2023,Banned from Libraries and Classrooms,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,North Dakota,Williston Basin School District #7,September 2022,Banned Pending Investigation,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Oregon,Canby Public School District,March 2023,Banned Pending Investigation,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Pennsylvania,Central York School District,January 2023,Banned from Libraries and Classrooms,Formal Challenge
