title,author,secondary_author,illustrator,translators,series,state,district,date_ban,ban_status,challenge_origin
Zahra's Paradise,Amir,,Khalil,,,Florida,Escambia County Public Schools,May 2023,Banned Pending Investigation,Formal Challenge
Zahra's Paradise,Amir,,Khalil,,,Florida,Santa Rosa County District Schools,May 2023,Banned from Libraries and Classrooms,Formal Challenge
Zahra's Paradise,Amir,,Khalil,,,Missouri,North Kansas City Schools,September 2022,Banned from Libraries,Legislative Action
Zahra's Paradise,Amir,,Khalil,,,Missouri,Rockwood School District,August 2022,Banned from Libraries and Classrooms,Legislative Action
Zahra's Paradise,Amir,,Khalil,,,Missouri,Webster Groves School District,September 2022,Banned from Libraries,Legislative Action
Cuban Kids,"Ancona, George",,,,,Florida,Miami-Dade Public Schools,March 2023,Banned from Libraries,Formal Challenge
"One Person, No Vote (YA edition): How Not All Voters Are Treated Equally","Anderson, Carol","Bolden, Tonya",,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol","Bolden, Tonya",,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol","Bolden, Tonya",,,,Florida,Volusia County Schools,June 2023,Banned from Libraries and Classrooms,Administration
The Secrets of Peaches,"Anderson, Jodi Lynn",,,,Peaches,Texas,Frisco Independent School District,March 2023,Banned from Libraries,Administration
Shout,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak,"Anderson, Laurie Halse",,,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Speak,"Anderson, Laurie Halse",,,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Speak,"Anderson, Laurie Halse",,,,,Florida,School District of Hamilton County,March 2023,Banned from Libraries and Classrooms,Administration
Speak,"Anderson, Laurie Halse",,,,,Idaho,Kuna School District,February 2023,Banned Pending Investigation,Administration
Speak,"Anderson, Laurie Halse",,,,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Speak,"Anderson, Laurie Halse",,,,,Pennsylvania,Penncrest School District,February 2023,Banned Pending Investigation,Administration
Speak,"Anderson, Laurie Halse",,,,,South Carolina,Beaufort County School District,October 2022,Banned Pending Investigation,Informal Challenge
Speak,"Anderson, Laurie Halse",,,,,Wyoming,Park County School District #1,February 2023,Banned Pending Investigation,Administration
Speak: Chinese Edition,"Anderson, Laurie Halse",,,Mu Ma Wen Hua (publisher),,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,,Missouri,Wentzville School District,September 2022,Banned Pending Investigation,Legislative Action
Speak: The Graphic Novel,"Anderson, Laurie Halse",,"Carroll, Emily",,,North Carolina,Pender County Schools,February 2023,Banned Pending Investigation,Administration
Twisted,"Anderson, Laurie Halse",,,,,Florida,Clay County School District,September 2022,Banned Pending Investigation,Formal Challenge
Twisted,"Anderson, Laurie Halse",,,,,Florida,Santa Rosa County District Schools,May 2023,Banned from Libraries and Classrooms,Formal Challenge
